,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
Innocence___Rainbow Rise,0.65,0.783,7,-6.197,0,0.0377,0.22,3.71e-06,0.182,0.302,109.959,audio_features,6NwEpX2JUWHVKWfDDfcqC4,spotify:track:6NwEpX2JUWHVKWfDDfcqC4,https://api.spotify.com/v1/tracks/6NwEpX2JUWHVKWfDDfcqC4,https://api.spotify.com/v1/audio-analysis/6NwEpX2JUWHVKWfDDfcqC4,204867,4,3 (Original Motion Picture Soundtrack),3KxiTZwnVuot6XVWRqh4PZ
On My Mind___Disciples,,,,,,,,,,,,,,,,,,,,
This Ain't a Love Song___Scouting For Girls,0.458,0.905,0,-4.157,1,0.0451,0.000431,0,0.378,0.553,176.667,audio_features,2tNE4DP5nL85XUJv1glO0a,spotify:track:2tNE4DP5nL85XUJv1glO0a,https://api.spotify.com/v1/tracks/2tNE4DP5nL85XUJv1glO0a,https://api.spotify.com/v1/audio-analysis/2tNE4DP5nL85XUJv1glO0a,210680,4,Ten Add Ten: The Very Best of Scouting For Girls,62j2ag19WoiNtbSxhAk9r7
Rise of Shyam___Anurag Kulkarni,,,,,,,,,,,,,,,,,,,,
Breathe___Jax Jones,,,,,,,,,,,,,,,,,,,,
Time of Our Lives___Pitbull,,,,,,,,,,,,,,,,,,,,
A Song For You___Vikram Dhakal,0.407,0.252,10,-17.733,1,0.0485,0.951,0.275,0.133,0.141,90.155,audio_features,07UGol5wFdaLGeQJWZ3a0a,spotify:track:07UGol5wFdaLGeQJWZ3a0a,https://api.spotify.com/v1/tracks/07UGol5wFdaLGeQJWZ3a0a,https://api.spotify.com/v1/audio-analysis/07UGol5wFdaLGeQJWZ3a0a,180347,4,A Song For You,2RpJL9fGAkFJon2DJViStC
Burn Out___Imagine Dragons,,,,,,,,,,,,,,,,,,,,
Under Cover of Darkness___The Strokes,,,,,,,,,,,,,,,,,,,,
Floripa___Ray Ben Rue,,,,,,,,,,,,,,,,,,,,
One Love (feat. Estelle)___David Guetta,,,,,,,,,,,,,,,,,,,,
Home Sweet Home (feat. ALMA & Digital Farm Animals) - Thomas Nan Club Mix___Sam Feldt,0.712,0.93,4,-3.06,1,0.0634,0.0179,0.000291,0.165,0.0699,122.991,audio_features,3qEN3RwobGsLi40S7yqzS0,spotify:track:3qEN3RwobGsLi40S7yqzS0,https://api.spotify.com/v1/tracks/3qEN3RwobGsLi40S7yqzS0,https://api.spotify.com/v1/audio-analysis/3qEN3RwobGsLi40S7yqzS0,180000,4,Home Sweet Home (The Club Mixes),2iuxB4wEQgm1aVrUSC1goe
Heroes (we could be)___Alesso,,,,,,,,,,,,,,,,,,,,
Turn The Page___Metallica,,,,,,,,,,,,,,,,,,,,
Sparkle - English Version___RADWIMPS,,,,,,,,,,,,,,,,,,,,
