,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature,albumName,albumID
13558,Eliott,Over & Over,877,2022-01-08 19:41:00,0.774,0.825,6,-4.283,0,0.0536,0.286,0.000215,0.103,0.637,120.983,2VYtAJuuOr6RyOOggzSTIB,4,Over & Over,5BmL5jO6sV8k294FijuCZo
13559,Hozier,Take Me To Church,939,2022-01-08 19:42:00,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,3dYD57lRAUcMHufyqn9GcI,4,Hozier,0Uv83rRhY5QvHKkQoULRKk
13560,VHS Collection,One (Fred Falke Remix),1445,2022-01-08 19:42:00,0.571,0.7,0,-8.828,1,0.079,0.196,0.0319,0.16,0.32,117.084,5OS4icJPloXWo8nS0SH4OF,4,One Remixes,4YrYAHuq0U9q8Lyzwab7vP
13561,Michael Schulte,You Said You'd Grow Old With Me,850,2022-01-08 19:42:00,0.531,0.347,0,-7.044,1,0.0345,0.905,0.0,0.0935,0.289,114.441,41WTP0gosjYD74B06uS2tL,4,Wide Awake,65Z3hZGZsiNcpOAT2U0Inn
13562,SAINT PHNX,Scream,46605,2022-01-08 19:44:00,0.784,0.66,0,-6.866,1,0.0431,0.0363,8.97e-05,0.259,0.453,130.016,67WBhAtMj8sGTkZJRJT2yG,4,Top 100 Wedding Reception Songs,2tRz0BrAWDeyFvs6qjIH9o
13563,SAINT PHNX,Death of Me,11265,2022-01-08 19:44:00,0.648,0.861,1,-4.178,1,0.0686,0.288,0.0,0.136,0.419,130.073,2rNNrLzOOG4n4yMiNSy8dQ,4,DDMN,7BDGpfMw87xBmeNeZE681g
13564,Linkin Park,ROADS UNTRAVELED,229933,2022-01-08 19:48:00,0.599,0.788,8,-6.25,0,0.0294,0.263,0.00525,0.155,0.581,100.001,1dYw8HTRJnFpeEeMtXj99a,3,LIVING THINGS,4XHIjbhjRmqWlosjj5rqSI
13565,Linkin Park,POWERLESS,16924,2022-01-08 20:01:00,0.508,0.88,5,-6.441,0,0.0448,0.0621,9.43e-05,0.15,0.337,140.065,4zNk347FJz4yDDcjUhJJMI,1,LIVING THINGS,4XHIjbhjRmqWlosjj5rqSI
13566,Linkin Park,POWERLESS,224466,2022-01-09 04:28:00,0.508,0.88,5,-6.441,0,0.0448,0.0621,9.43e-05,0.15,0.337,140.065,4zNk347FJz4yDDcjUhJJMI,1,LIVING THINGS,4XHIjbhjRmqWlosjj5rqSI
13567,Linkin Park,Pushing Me Away,191440,2022-01-09 04:36:00,0.484,0.913,6,-4.305,1,0.0425,0.000391,0.0,0.309,0.279,103.103,1gAaRSN57UYVRI4eWRyAvP,4,Hybrid Theory (Bonus Edition),6hPkbAV3ZXpGZBGUvL6jVM
